sensor_id,ubicacion,tipo_via,timestamp,conteo_vehiculos,temperatura_c,condicion_clima,lat,lon
SEN01,Av. Regional,Troncal,2025-03-03 04:00:00,19.0,24.7,soleado,6.23155,-75.59024
SEN02,Av. 33,Arteria,2025-03-14 16:00:00,35.0,22.4,soleado,6.21448,-75.57257
SEN04,Autopista Norte,Troncal,2025-03-03 08:00:00,36.0,24.3,soleado,6.28617,-75.56482
SEN01,Av. Regional,Troncal,2025-03-15 06:00:00,36.0,27.5,soleado,6.23019,-75.59082
SEN03,Calle 10,Local,2025-03-08 04:00:00,22.0,18.2,lluvioso,6.20927,-75.57132
SEN03,Calle 10,Local,2025-03-09 10:00:00,13.0,23.2,lluvioso,6.20868,-75.57089
SEN03,Calle 10,Local,2025-03-04 06:00:00,40.0,22.3,nublado,6.20929,-75.57003
SEN03,Calle 10,Local,2025-03-12 08:00:00,44.0,23.7,soleado,6.209,-75.57082
SEN04,Autopista Norte,Troncal,2025-03-12 12:00:00,17.0,22.4,nublado,6.28598,-75.56543
SEN04,Autopista Norte,Troncal,2025-03-13 02:00:00,19.0,23.1,soleado,6.28597,-75.56404
SEN01,Av. Regional,Troncal,2025-03-06 22:00:00,9.0,29.5,soleado,6.23046,-75.59032
SEN05,Av. Oriental,Arteria,2025-03-15 06:00:00,46.0,23.7,soleado,6.24769,-75.56485
SEN06,Circular 4ta,Local,2025-03-02 02:00:00,17.0,19.6,soleado,6.24527,-75.58584
SEN05,Av. Oriental,Arteria,2025-03-20 12:00:00,15.0,25.4,nublado,6.24698,-75.56509
SEN04,Autopista Norte,Troncal,2025-03-14 00:00:00,9.0,22.4,soleado,6.28559,-75.56582
SEN04,Autopista Norte,Troncal,2025-03-08 10:00:00,33.0,22.3,nublado,6.28575,-75.56542
SEN06,Circular 4ta,Local,2025-03-13 04:00:00,19.0,24.2,nublado,6.24422,-75.5857
SEN01,Av. Regional,Troncal,2025-03-04 08:00:00,41.0,20.5,nublado,6.23098,-75.59095
SEN06,Circular 4ta,Local,2025-03-14 04:00:00,20.0,21.4,soleado,6.24588,-75.58524
SEN01,Av. Regional,Troncal,2025-03-08 16:00:00,38.0,21.0,nublado,6.23075,-75.59125
SEN06,Circular 4ta,Local,2025-03-09 08:00:00,38.0,27.8,soleado,6.245,-75.58457
SEN03,Calle 10,Local,2025-03-18 18:00:00,35.0,22.2,lluvioso,6.20859,-75.57013
SEN04,Autopista Norte,Troncal,2025-03-16 18:00:00,31.0,27.6,nublado,6.28596,-75.56481
SEN03,Calle 10,Local,2025-03-17 18:00:00,32.0,18.7,lluvioso,6.20838,-75.57059
SEN04,Autopista Norte,Troncal,2025-03-03 02:00:00,15.0,26.9,soleado,6.28716,-75.56568
SEN05,Av. Oriental,Arteria,2025-03-15 14:00:00,16.0,26.1,soleado,6.24799,-75.56423
SEN01,Av. Regional,Troncal,2025-03-13 02:00:00,7.0,21.3,soleado,6.2301,-75.58979
SEN01,Av. Regional,Troncal,2025-03-11 20:00:00,14.0,23.1,lluvioso,6.2314,-75.59033
SEN01,Av. Regional,Troncal,2025-03-15 22:00:00,19.0,22.5,soleado,6.23138,-75.59006
SEN03,Calle 10,Local,2025-03-20 06:00:00,31.0,23.1,soleado,6.20848,-75.57056
SEN03,Calle 10,Local,2025-03-07 20:00:00,14.0,21.5,soleado,6.20951,-75.57196
SEN01,Av. Regional,Troncal,2025-03-04 06:00:00,52.0,20.4,soleado,6.23069,-75.59159
SEN06,Circular 4ta,Local,2025-03-10 02:00:00,18.0,25.0,nublado,6.24528,-75.58589
SEN06,Circular 4ta,Local,2025-03-09 12:00:00,19.0,17.6,soleado,6.2452,-75.58561
SEN06,Circular 4ta,Local,2025-03-07 22:00:00,7.0,24.2,lluvioso,6.2444,-75.58458
SEN04,Autopista Norte,Troncal,2025-03-09 02:00:00,12.0,22.1,soleado,6.28669,-75.56479
SEN02,Av. 33,Arteria,2025-03-05 10:00:00,15.0,23.4,lluvioso,6.21475,-75.57409
SEN01,Av. Regional,Troncal,2025-03-13 12:00:00,10.0,21.6,soleado,6.23014,-75.59147
SEN05,Av. Oriental,Arteria,2025-03-02 18:00:00,44.0,25.4,soleado,6.24668,-75.56549
SEN05,Av. Oriental,Arteria,2025-03-17 22:00:00,15.0,19.3,soleado,6.24661,-75.56438
SEN06,Circular 4ta,Local,2025-03-18 06:00:00,43.0,23.1,nublado,6.24444,-75.58401
SEN01,Av. Regional,Troncal,2025-03-09 12:00:00,15.0,20.3,soleado,6.23141,-75.59132
SEN01,Av. Regional,Troncal,2025-03-01 18:00:00,47.0,28.6,nublado,6.23142,-75.58988
SEN02,Av. 33,Arteria,2025-03-14 22:00:00,13.0,22.9,soleado,6.21386,-75.57319
SEN02,Av. 33,Arteria,2025-03-06 10:00:00,11.0,21.4,soleado,6.21443,-75.57277
SEN06,Circular 4ta,Local,2025-03-10 10:00:00,16.0,18.9,soleado,6.24505,-75.58482
SEN04,Autopista Norte,Troncal,2025-03-19 22:00:00,10.0,21.6,nublado,6.28672,-75.56508
SEN06,Circular 4ta,Local,2025-03-16 00:00:00,5.0,22.9,soleado,6.24447,-75.58551
SEN05,Av. Oriental,Arteria,2025-03-17 18:00:00,43.0,27.9,soleado,6.24735,-75.56535
SEN06,Circular 4ta,Local,2025-03-01 14:00:00,7.0,18.0,soleado,6.24499,-75.58503
SEN03,Calle 10,Local,2025-03-04 08:00:00,45.0,26.3,soleado,6.20903,-75.57097
SEN01,Av. Regional,Troncal,2025-03-03 02:00:00,12.0,17.6,soleado,6.23117,-75.59157
SEN03,Calle 10,Local,2025-03-09 20:00:00,26.0,25.2,lluvioso,6.20876,-75.57103
SEN02,Av. 33,Arteria,2025-03-07 02:00:00,10.0,25.2,soleado,6.21443,-75.57376
SEN06,Circular 4ta,Local,2025-03-19 02:00:00,15.0,25.4,nublado,6.24436,-75.58414
SEN04,Autopista Norte,Troncal,2025-03-13 16:00:00,48.0,21.5,nublado,6.28675,-75.56456
SEN01,Av. Regional,Troncal,2025-03-06 04:00:00,23.0,20.8,nublado,6.23047,-75.5911
SEN06,Circular 4ta,Local,2025-03-02 20:00:00,14.0,24.9,soleado,6.24421,-75.58532
SEN01,Av. Regional,Troncal,2025-03-01 02:00:00,14.0,26.8,soleado,6.22994,-75.59105
SEN01,Av. Regional,Troncal,2025-03-20 16:00:00,37.0,18.0,soleado,6.23078,-75.59089
SEN01,Av. Regional,Troncal,2025-03-02 14:00:00,18.0,26.7,lluvioso,6.23085,-75.59035
SEN02,Av. 33,Arteria,2025-03-14 00:00:00,15.0,25.6,soleado,6.21507,-75.57402
SEN03,Calle 10,Local,2025-03-08 12:00:00,19.0,29.1,soleado,6.20872,-75.57104
SEN05,Av. Oriental,Arteria,2025-03-01 14:00:00,16.0,23.7,soleado,6.24735,-75.56533
SEN02,Av. 33,Arteria,2025-03-16 10:00:00,20.0,22.3,nublado,6.21394,-75.57353
SEN05,Av. Oriental,Arteria,2025-03-09 08:00:00,40.0,22.5,nublado,6.24752,-75.56455
SEN03,Calle 10,Local,2025-03-18 02:00:00,19.0,27.4,nublado,6.20952,-75.57031
SEN05,Av. Oriental,Arteria,2025-03-02 04:00:00,22.0,23.1,soleado,6.24638,-75.5642
SEN06,Circular 4ta,Local,2025-03-09 04:00:00,2.0,21.6,soleado,6.24536,-75.5852
SEN05,Av. Oriental,Arteria,2025-03-09 10:00:00,15.0,22.0,soleado,6.24792,-75.56582
SEN06,Circular 4ta,Local,2025-03-19 00:00:00,17.0,21.9,lluvioso,6.244,-75.58443
SEN06,Circular 4ta,Local,2025-03-08 04:00:00,6.0,21.9,soleado,6.24409,-75.58467
SEN05,Av. Oriental,Arteria,2025-03-09 14:00:00,6.0,25.7,soleado,6.24633,-75.56525
SEN02,Av. 33,Arteria,2025-03-07 06:00:00,45.0,22.2,soleado,6.21407,-75.57328
SEN01,Av. Regional,Troncal,2025-03-13 06:00:00,43.0,15.3,soleado,6.23088,-75.591
SEN02,Av. 33,Arteria,2025-03-19 08:00:00,34.0,22.4,soleado,6.21367,-75.57403
SEN05,Av. Oriental,Arteria,2025-03-02 02:00:00,12.0,19.5,soleado,6.24719,-75.56596
SEN01,Av. Regional,Troncal,2025-03-05 20:00:00,10.0,20.3,soleado,6.23091,-75.58992
SEN04,Autopista Norte,Troncal,2025-03-09 06:00:00,49.0,21.3,soleado,6.2864,-75.56413
SEN02,Av. 33,Arteria,2025-03-06 08:00:00,38.0,22.4,soleado,6.21497,-75.57415
SEN04,Autopista Norte,Troncal,2025-03-12 14:00:00,10.0,21.6,nublado,6.28568,-75.56451
SEN06,Circular 4ta,Local,2025-03-18 04:00:00,16.0,22.0,soleado,6.24563,-75.58546
SEN06,Circular 4ta,Local,2025-03-19 20:00:00,19.0,19.8,nublado,6.24536,-75.5851
SEN05,Av. Oriental,Arteria,2025-03-19 06:00:00,31.0,24.8,soleado,6.2478,-75.56404
SEN02,Av. 33,Arteria,2025-03-09 16:00:00,53.0,25.8,nublado,6.21416,-75.57339
SEN02,Av. 33,Arteria,2025-03-06 06:00:00,19.0,23.4,lluvioso,6.21372,-75.57309
SEN06,Circular 4ta,Local,2025-03-01 16:00:00,44.0,23.2,soleado,6.24579,-75.58528
SEN06,Circular 4ta,Local,2025-03-13 06:00:00,43.0,21.2,lluvioso,6.24521,-75.58567
SEN03,Calle 10,Local,2025-03-06 02:00:00,19.0,19.5,nublado,6.2085,-75.57112
SEN01,Av. Regional,Troncal,2025-03-13 10:00:00,23.0,19.1,nublado,6.23123,-75.58964
SEN03,Calle 10,Local,2025-03-05 08:00:00,38.0,26.1,soleado,6.20847,-75.57065
SEN04,Autopista Norte,Troncal,2025-03-06 22:00:00,11.0,22.5,nublado,6.28709,-75.56448
SEN02,Av. 33,Arteria,2025-03-05 14:00:00,14.0,23.4,nublado,6.21399,-75.57329
SEN05,Av. Oriental,Arteria,2025-03-11 08:00:00,36.0,27.1,soleado,6.24793,-75.56576
SEN05,Av. Oriental,Arteria,2025-03-18 08:00:00,35.0,23.7,soleado,6.24647,-75.56449
SEN01,Av. Regional,Troncal,2025-03-12 06:00:00,43.0,25.2,nublado,6.23096,-75.58971
SEN03,Calle 10,Local,2025-03-20 20:00:00,8.0,21.7,nublado,6.20926,-75.57084
SEN05,Av. Oriental,Arteria,2025-03-09 06:00:00,35.0,19.0,soleado,6.24792,-75.56436
SEN03,Calle 10,Local,2025-03-01 06:00:00,30.0,25.6,soleado,6.20982,-75.57084
SEN01,Av. Regional,Troncal,2025-03-09 00:00:00,15.0,23.3,nublado,6.23091,-75.58999
SEN04,Autopista Norte,Troncal,2025-03-14 02:00:00,12.0,23.1,soleado,6.28623,-75.56427
SEN02,Av. 33,Arteria,2025-03-12 22:00:00,9.0,24.0,lluvioso,6.215,-75.57421
SEN06,Circular 4ta,Local,2025-03-12 18:00:00,44.0,18.9,soleado,6.246,-75.5857
SEN06,Circular 4ta,Local,2025-03-17 14:00:00,10.0,24.9,soleado,6.24501,-75.58453
SEN05,Av. Oriental,Arteria,2025-03-03 10:00:00,8.0,15.8,nublado,6.24787,-75.56496
SEN06,Circular 4ta,Local,2025-03-12 14:00:00,24.0,18.4,lluvioso,6.24477,-75.58455
SEN03,Calle 10,Local,2025-03-20 02:00:00,17.0,27.0,soleado,6.20986,-75.57193
SEN03,Calle 10,Local,2025-03-10 08:00:00,19.0,20.3,soleado,6.20942,-75.57068
SEN02,Av. 33,Arteria,2025-03-01 20:00:00,10.0,22.2,soleado,6.21485,-75.57312
SEN06,Circular 4ta,Local,2025-03-10 00:00:00,14.0,22.3,nublado,6.2454,-75.58579
SEN04,Autopista Norte,Troncal,2025-03-16 06:00:00,43.0,21.6,soleado,6.28707,-75.56429
SEN06,Circular 4ta,Local,2025-03-20 20:00:00,20.0,23.9,soleado,6.24543,-75.58538
SEN05,Av. Oriental,Arteria,2025-03-08 20:00:00,25.0,19.5,soleado,6.24773,-75.5648
SEN01,Av. Regional,Troncal,2025-03-11 02:00:00,19.0,23.6,nublado,6.22986,-75.59137
SEN01,Av. Regional,Troncal,2025-03-08 20:00:00,19.0,25.4,soleado,6.23083,-75.59092
SEN05,Av. Oriental,Arteria,2025-03-11 00:00:00,9.0,24.3,nublado,6.24725,-75.56597
SEN06,Circular 4ta,Local,2025-09-03 20:00:00,9.0,23.5,soleado,6.24427,-75.58517
SEN03,Calle 10,Local,2025-03-14 04:00:00,26.0,19.8,soleado,6.20843,-75.57069
SEN03,Calle 10,Local,2025-03-04 14:00:00,19.0,19.9,soleado,6.20992,-75.5718
SEN05,Av. Oriental,Arteria,2025-03-19 08:00:00,45.0,28.7,nublado,6.24697,-75.56417
SEN03,Calle 10,Local,2025-03-16 10:00:00,18.0,20.6,soleado,6.21026,-75.57017
SEN04,Autopista Norte,Troncal,2025-03-12 22:00:00,6.0,24.1,lluvioso,6.28748,-75.56581
SEN04,Autopista Norte,Troncal,2025-03-03 12:00:00,14.0,22.5,soleado,6.28646,-75.56455
SEN04,Autopista Norte,Troncal,2025-03-15 08:00:00,27.0,23.3,soleado,6.28743,-75.56429
SEN06,Circular 4ta,Local,2025-03-04 04:00:00,4.0,26.7,nublado,6.24415,-75.58569
SEN05,Av. Oriental,Arteria,2025-03-06 00:00:00,9.0,25.7,lluvioso,6.24649,-75.56512
SEN06,Circular 4ta,Local,2025-03-15 18:00:00,43.0,21.6,soleado,6.24567,-75.58587
SEN01,Av. Regional,Troncal,2025-03-19 22:00:00,15.0,23.7,soleado,6.22994,-75.59114
SEN02,Av. 33,Arteria,2025-03-16 18:00:00,49.0,21.7,nublado,6.21401,-75.57281
SEN03,Calle 10,Local,2025-03-02 06:00:00,40.0,21.1,soleado,6.20951,-75.57109
SEN05,Av. Oriental,Arteria,2025-03-03 14:00:00,19.0,21.5,soleado,6.24717,-75.56466
SEN01,Av. Regional,Troncal,2025-03-08 00:00:00,21.0,22.0,lluvioso,6.23135,-75.58998
SEN05,Av. Oriental,Arteria,2025-03-11 06:00:00,46.0,19.7,nublado,6.24672,-75.56564
SEN04,Autopista Norte,Troncal,2025-03-13 04:00:00,23.0,25.7,soleado,6.28591,-75.56405
SEN04,Autopista Norte,Troncal,2025-03-01 14:00:00,14.0,18.8,soleado,6.2863,-75.56477
SEN06,Circular 4ta,Local,2025-03-13 02:00:00,5.0,22.5,soleado,6.24574,-75.58572
SEN01,Av. Regional,Troncal,2025-03-02 18:00:00,38.0,20.7,nublado,6.22983,-75.59056
SEN04,Autopista Norte,Troncal,2025-03-05 20:00:00,19.0,25.6,nublado,6.28612,-75.56571
SEN01,Av. Regional,Troncal,2025-03-07 18:00:00,34.0,24.3,nublado,6.22989,-75.59147
SEN03,Calle 10,Local,2025-03-03 10:00:00,23.0,24.8,nublado,6.20902,-75.57089
SEN03,Calle 10,Local,2025-03-19 08:00:00,19.0,20.8,soleado,6.20908,-75.57009
SEN06,Circular 4ta,Local,2025-03-05 00:00:00,13.0,21.5,soleado,6.24553,-75.5847
SEN02,Av. 33,Arteria,2025-03-18 16:00:00,34.0,21.9,nublado,6.21492,-75.57332
SEN04,Autopista Norte,Troncal,2025-12-03 00:00:00,18.0,24.7,nublado,6.28704,-75.56431
SEN02,Av. 33,Arteria,2025-03-05 04:00:00,19.0,23.1,soleado,6.21386,-75.57355
SEN06,Circular 4ta,Local,2025-03-09 14:00:00,17.0,26.5,nublado,6.24593,-75.58538
SEN03,Calle 10,Local,2025-03-11 12:00:00,12.0,23.1,nublado,6.20877,-75.57168
SEN05,Av. Oriental,Arteria,2025-03-06 16:00:00,44.0,16.0,soleado,6.2473,-75.56428
SEN01,Av. Regional,Troncal,2025-03-09 18:00:00,37.0,24.2,lluvioso,6.2316,-75.59025
SEN03,Calle 10,Local,2025-03-07 18:00:00,47.0,17.6,nublado,6.20936,-75.57079
SEN03,Calle 10,Local,2025-03-16 16:00:00,44.0,24.5,lluvioso,6.20878,-75.57113
SEN04,Autopista Norte,Troncal,2025-03-18 22:00:00,17.0,23.1,nublado,6.28629,-75.56463
SEN03,Calle 10,Local,2025-03-20 10:00:00,5.0,21.1,nublado,6.20938,-75.57195
SEN03,Calle 10,Local,2025-03-02 18:00:00,42.0,22.4,soleado,6.20869,-75.57174
SEN05,Av. Oriental,Arteria,2025-03-12 06:00:00,46.0,24.6,nublado,6.24655,-75.56465
SEN03,Calle 10,Local,2025-03-02 20:00:00,12.0,20.3,nublado,6.2092,-75.57042
SEN03,Calle 10,Local,2025-03-20 04:00:00,20.0,26.2,nublado,6.21013,-75.57121
SEN03,Calle 10,Local,2025-03-04 12:00:00,19.0,26.1,soleado,6.20912,-75.57105
SEN02,Av. 33,Arteria,2025-03-12 00:00:00,13.0,22.0,soleado,6.21402,-75.57273
SEN05,Av. Oriental,Arteria,2025-03-12 10:00:00,10.0,24.6,soleado,6.24739,-75.56595
SEN01,Av. Regional,Troncal,2025-03-10 02:00:00,13.0,20.9,soleado,6.23079,-75.59073
SEN04,Autopista Norte,Troncal,2025-03-14 12:00:00,7.0,17.6,nublado,6.28728,-75.56503
SEN06,Circular 4ta,Local,2025-03-12 02:00:00,7.0,23.5,soleado,6.24486,-75.58532
SEN05,Av. Oriental,Arteria,2025-03-13 18:00:00,39.0,22.2,soleado,6.24625,-75.56569
SEN02,Av. 33,Arteria,2025-03-19 22:00:00,22.0,22.5,soleado,6.21353,-75.5729
SEN04,Autopista Norte,Troncal,2025-03-12 18:00:00,43.0,18.1,nublado,6.28646,-75.56405
SEN06,Circular 4ta,Local,2025-03-12 08:00:00,37.0,23.1,nublado,6.24551,-75.58522
SEN05,Av. Oriental,Arteria,2025-03-10 20:00:00,18.0,24.9,lluvioso,6.24771,-75.56484
SEN03,Calle 10,Local,2025-03-12 06:00:00,41.0,23.1,soleado,6.20996,-75.57036
SEN03,Calle 10,Local,2025-03-06 00:00:00,2.0,19.8,lluvioso,6.21029,-75.5719
SEN05,Av. Oriental,Arteria,2025-03-06 22:00:00,10.0,23.6,nublado,6.24711,-75.56427
SEN03,Calle 10,Local,2025-03-10 20:00:00,13.0,24.8,soleado,6.20925,-75.57146
SEN05,Av. Oriental,Arteria,2025-03-01 16:00:00,45.0,24.1,soleado,6.24739,-75.5658
SEN02,Av. 33,Arteria,2025-03-20 22:00:00,16.0,23.9,nublado,6.21455,-75.57267
SEN04,Autopista Norte,Troncal,2025-03-16 22:00:00,26.0,23.1,soleado,6.28578,-75.5643
SEN01,Av. Regional,Troncal,2025-03-05 00:00:00,13.0,23.1,soleado,6.2317,-75.58973
SEN01,Av. Regional,Troncal,2025-03-15 02:00:00,24.0,22.4,lluvioso,6.23031,-75.59121
SEN04,Autopista Norte,Troncal,2025-03-16 04:00:00,18.0,21.6,nublado,6.2862,-75.5648
SEN02,Av. 33,Arteria,2025-03-20 00:00:00,14.0,22.2,soleado,6.21402,-75.57377
SEN04,Autopista Norte,Troncal,2025-03-10 10:00:00,9.0,21.0,soleado,6.28728,-75.56522
SEN02,Av. 33,Arteria,2025-03-03 18:00:00,42.0,26.1,soleado,6.21431,-75.57279
SEN06,Circular 4ta,Local,2025-03-17 20:00:00,13.0,22.3,soleado,6.24507,-75.58457
SEN02,Av. 33,Arteria,2025-03-13 12:00:00,20.0,20.3,soleado,6.21527,-75.57318
SEN05,Av. Oriental,Arteria,2025-03-05 00:00:00,10.0,23.8,soleado,6.24612,-75.56563
SEN04,Autopista Norte,Troncal,2025-03-18 04:00:00,17.0,22.9,nublado,6.28565,-75.56421
SEN05,Av. Oriental,Arteria,2025-03-06 08:00:00,35.0,18.8,soleado,6.24744,-75.56424
SEN04,Autopista Norte,Troncal,2025-03-07 12:00:00,17.0,25.1,soleado,6.28671,-75.56551
SEN02,Av. 33,Arteria,2025-03-20 10:00:00,19.0,24.4,soleado,6.21461,-75.57382
SEN03,Calle 10,Local,2025-03-11 22:00:00,9.0,24.0,lluvioso,6.2095,-75.57097
SEN05,Av. Oriental,Arteria,2025-03-13 00:00:00,8.0,22.3,soleado,6.24664,-75.56584
SEN03,Calle 10,Local,2025-03-05 20:00:00,14.0,26.9,soleado,6.20891,-75.57131
SEN03,Calle 10,Local,2025-03-02 04:00:00,19.0,26.2,soleado,6.20949,-75.57022
SEN02,Av. 33,Arteria,2025-03-05 20:00:00,12.0,19.7,nublado,6.21502,-75.57269
SEN05,Av. Oriental,Arteria,2025-03-11 10:00:00,13.0,21.7,nublado,6.24767,-75.56505
SEN05,Av. Oriental,Arteria,2025-03-11 18:00:00,27.0,27.4,soleado,6.24716,-75.56541
SEN05,Av. Oriental,Arteria,2025-03-14 20:00:00,14.0,22.5,nublado,6.24777,-75.56554
SEN02,Av. 33,Arteria,2025-03-08 12:00:00,18.0,27.3,soleado,6.21509,-75.57296
SEN05,Av. Oriental,Arteria,2025-03-08 22:00:00,19.0,26.9,nublado,6.24633,-75.56407
SEN04,Autopista Norte,Troncal,2025-03-08 14:00:00,15.0,19.4,lluvioso,6.28651,-75.56522
SEN05,Av. Oriental,Arteria,2025-03-17 08:00:00,35.0,25.2,soleado,6.24732,-75.56478
SEN04,Autopista Norte,Troncal,2025-03-08 06:00:00,42.0,23.1,soleado,6.28669,-75.56553
SEN06,Circular 4ta,Local,2025-03-15 10:00:00,19.0,23.1,soleado,6.24439,-75.58592
SEN04,Autopista Norte,Troncal,2025-03-03 22:00:00,15.0,23.8,soleado,6.28614,-75.56478
SEN03,Calle 10,Local,2025-03-10 00:00:00,23.0,22.6,lluvioso,6.2093,-75.57058
SEN06,Circular 4ta,Local,2025-03-08 02:00:00,15.0,20.2,nublado,6.24581,-75.58544
SEN02,Av. 33,Arteria,2025-03-06 14:00:00,19.0,28.0,soleado,6.21446,-75.57376
SEN03,Calle 10,Local,2025-03-16 06:00:00,42.0,20.5,lluvioso,6.20939,-75.57145
SEN02,Av. 33,Arteria,2025-03-13 10:00:00,3.0,30.5,soleado,6.21443,-75.57295
SEN02,Av. 33,Arteria,2025-03-17 14:00:00,19.0,18.9,nublado,6.21374,-75.5736
SEN04,Autopista Norte,Troncal,2025-03-12 10:00:00,19.0,22.8,nublado,6.28554,-75.56559
SEN02,Av. 33,Arteria,2025-03-03 08:00:00,44.0,23.8,lluvioso,6.21507,-75.57253
SEN02,Av. 33,Arteria,2025-03-15 04:00:00,9.0,23.1,soleado,6.21528,-75.57291
SEN03,Calle 10,Local,2025-11-03 08:00:00,35.0,27.6,lluvioso,6.21012,-75.57031
SEN05,Av. Oriental,Arteria,2025-03-02 10:00:00,9.0,24.8,soleado,6.2462,-75.56415
SEN04,Autopista Norte,Troncal,2025-03-11 18:00:00,34.0,28.2,nublado,6.28556,-75.5658
SEN02,Av. 33,Arteria,2025-03-10 16:00:00,39.0,20.7,soleado,6.21403,-75.5732
SEN05,Av. Oriental,Arteria,2025-03-13 14:00:00,14.0,21.9,soleado,6.24701,-75.56581
SEN06,Circular 4ta,Local,2025-03-02 18:00:00,48.0,22.8,nublado,6.24531,-75.58483
SEN05,Av. Oriental,Arteria,2025-03-02 16:00:00,44.0,27.6,nublado,6.24623,-75.5652
SEN04,Autopista Norte,Troncal,2025-03-13 06:00:00,19.0,19.8,soleado,6.28678,-75.56587
SEN03,Calle 10,Local,2025-03-11 06:00:00,40.0,23.1,lluvioso,6.20868,-75.57086
SEN06,Circular 4ta,Local,2025-03-06 12:00:00,0.0,22.5,soleado,6.24439,-75.58501
SEN02,Av. 33,Arteria,2025-03-17 18:00:00,37.0,21.5,nublado,6.21455,-75.574
SEN03,Calle 10,Local,2025-03-14 18:00:00,31.0,28.1,soleado,6.20887,-75.57078
SEN05,Av. Oriental,Arteria,2025-03-11 16:00:00,51.0,22.5,nublado,6.24702,-75.56565
SEN01,Av. Regional,Troncal,2025-03-09 08:00:00,47.0,26.0,nublado,6.22998,-75.59153
SEN02,Av. 33,Arteria,2025-03-16 08:00:00,34.0,20.1,soleado,6.21509,-75.5727
SEN04,Autopista Norte,Troncal,2025-03-03 18:00:00,38.0,20.8,soleado,6.28719,-75.56532
SEN02,Av. 33,Arteria,2025-03-04 20:00:00,16.0,27.4,nublado,6.21364,-75.57368
SEN02,Av. 33,Arteria,2025-03-15 00:00:00,19.0,18.8,nublado,6.21431,-75.57259
SEN02,Av. 33,Arteria,2025-03-09 00:00:00,26.0,23.8,soleado,6.21378,-75.57283
SEN01,Av. Regional,Troncal,2025-03-09 10:00:00,19.0,21.7,soleado,6.23033,-75.59043
SEN06,Circular 4ta,Local,2025-03-06 20:00:00,19.0,24.8,nublado,6.24475,-75.58553
SEN03,Calle 10,Local,2025-03-03 18:00:00,44.0,21.8,soleado,6.20833,-75.57039
SEN05,Av. Oriental,Arteria,2025-03-12 00:00:00,19.0,25.4,soleado,6.24754,-75.56464
SEN04,Autopista Norte,Troncal,2025-03-11 16:00:00,36.0,22.6,lluvioso,6.28552,-75.5657
SEN04,Autopista Norte,Troncal,2025-03-19 16:00:00,19.0,28.2,lluvioso,6.28613,-75.56552
SEN02,Av. 33,Arteria,2025-03-04 10:00:00,19.0,24.1,lluvioso,6.21487,-75.57268
SEN04,Autopista Norte,Troncal,2025-03-10 22:00:00,6.0,22.4,soleado,6.28707,-75.5647
SEN06,Circular 4ta,Local,2025-03-10 06:00:00,40.0,26.8,lluvioso,6.24473,-75.5855
SEN04,Autopista Norte,Troncal,2025-03-12 04:00:00,18.0,22.1,nublado,6.28594,-75.56434
